code,water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,distance_to_settlement,establishing_agency,date_source_established,latitude,longitude,elevation,gps_precision,sources_cluster,users,permanent,months_used,functioning,reason_for_non_functioning,number_of_human_using_source,number_of_camel_using_source,number_of_cattle_using_source,number_of_shoats_using_source,number_of_hectares_irrigated_using_source,source_protected,bh_depth,casing_type,casing_size,bh_static_water_level,bh_operating_yield,bh_operating_hrs_per_day,bh_operating_draw_down,bh_recovery_time,dw_depth,dw_static_water_level,dw_yield,dw_operating_hours,dw_draw_down,recovery_time,spring_cumulative_discharge_rate,dam_depth,dam_length,dam_width,berkad_depth,berkad_length,berkad_width,other_depth,other_length,other_width,other_source_yield,reservoir_type,reservoir_capacity,pipeline_type,pipeline_length,number_of_hh_connections,number_of_water_points_kiosks,number_of_animal_troughs,source_used_for_water_trucking,number_of_trucks_per_day,pump_type,pump_model,pump_capacity,pump_level,source_of_power,generator_type,generator_capacity,solar_type,solar_capacity,supply_system_condition,supply_system_condition_description,physical_water_quality_issues,color_odor_smell_description,temperature,ph,electrical_conductivity,total_disolved_solids,management_type,water_and_sanitation_committee,wsc_date_of_establishment,wsc_male_members,wsc_female_members,humans_charged_for_water,cost_of_water_for_humans,animals_charged_for_water,cost_of_water_for_livestock,name_of_operator,operator_contact_number,last_intervention_agency,last_intervention_description,last_intervention_date,additional_notes,metadata_tag
BKHRBE032,Berkad,SWALIM Archives,2005-02-22,Hiraan,Belet Weyne,,,,,,4.8271,45.5504,415.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DMTGBC014,Dam,SWALIM_WSIS,2008-06-21,Togdheer,Burco,Balli Dhiig 1,Bali Dhiig,,,,8.3738,45.9116,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMTGBC017,Dam,SWALIM_WSIS,2008-06-21,Togdheer,Burco,Warta Nasiye,Nasiye,,,,8.7429,45.6311,822.0,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWMDHO018,Dug Well,BRCiS,2017-06-01,Mudug,Hobyo,Toro,Toro,,,,6.021,47.7931,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non portable water,Water Sources Data from Partners – WSD_Pat
BHBRQR024,Borehole,SWALIM_WSIS,2008-06-03,Bari,Qardho,Yako,Yako,,,,9.2204,49.1246,730.0,,,Rural,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWGDDO012,Dug Well,SWALIM_WSIS,2009-09-30,Gedo,Doolow,Lugadiima,Dogob,,,,3.8,42.2,210.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,8.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBRBA004,Dug Well,SWALIM_WSIS,2008-07-14,Bari,Bandar Beyla,Bixin,Dur Dura,,,,9.0877,50.4305,185.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPNGEY015,Spring,SWALIM_WSIS,2008-07-19,Nugaal,Eyl,Gabac,Ladege,,,,8.1565,50.0373,28.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3960.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMGDBA022,Dam,SWALIM_WSIS,2009-10-30,Gedo,Baardheere,Kurtumaley,Kurtumaley,,,,2.395,42.204,144.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRIS016,Spring,SWALIM_WSIS,2008-06-18,Bari,Iskushuban,Xeela,,,,,11.3713,51.0397,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,3614.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPTGSH017,Spring,SWALIM_WSIS,2008-06-19,Togdheer,Sheikh,Iskudarka Spring,Biyooley,,,,10.1108,45.2775,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWGLCH061,Dug Well,SWALIM_WSIS,2009-08-13,Galgaduud,Ceel Dheer,Bilaal,,,,,3.9311,47.4276,13.0,,,,,,,,,,,,,,,,,,,,,,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWMDGD008,Dug Well,SWALIM_WSIS,2008-07-22,Mudug,Galdogob,Nimco Farm,Hermo,,,,7.192,47.5281,366.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BHMDGK035,Borehole,SWALIM_WSIS,2008-07-27,Mudug,Galkacyo,Yamayska,,,,,6.7962,47.4238,289.0,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMWGHA046,Dam,SWALIM_WSIS,2008-06-23,Woqooyi Galbeed,Hargeisa,Balligubadle 1,,,,,9.0128,44.003,1316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWGLCH032,Dug Well,SWALIM_WSIS,2009-08-18,Galgaduud,Ceel Dheer,Ceel Xaji Maxud,,,,,3.8411,47.182,15.0,,,,,,Yes,,,,,,,,,,,,,,,,16.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMGLDH006,Dam,COOPI,2012-12-18,Galgaduud,Dhusa Marreb,Toon,Labiley,,,,5.1185,45.8261,321.0,,,,Yes,,Yes,,150,150,30,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWMDHO057,Dug Well,SWALIM_WSIS,2009-07-29,Mudug,Hobyo,Laascagey,Dhidhin,,,,6.0122,48.1183,112.0,,,,,,Yes,,,,,,,,,,,,,,,,5.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWAWBO051,Dug Well,SWALIM_WSIS,2008-05-27,Awdal,Borama,Camuud 2,Boorame,,,,9.9484,43.2329,1384.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,850.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWSLXU041,Dug Well,SWALIM_WSIS,2008-05-27,Sool,Xudun,Siiga dheer,Xerta xangery,,,,9.1603,47.6192,646.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,2471.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBO011,Spring,SWALIM_WSIS,2008-05-31,Bari,Bossaso,Mirqanle 1,Laag,,,,11.0667,49.1306,175.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,978.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPAWZE008,Spring,SWALIM_WSIS,2008-05-16,Awdal,Zeylac,Khadar Iyoiiyaas,Jidhi Town,,,,10.573,42.9941,548.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKNGBU001,Berkad,BRCiS,2017-06-01,Nugaal,Burtinle,Hasbahale,Hasbahale,,,,7.9638,49.1543,452.0,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portable water,Water Sources Data from Partners – WSD_Pat
BKGLCU002,Berkad,GSA/SWALIM,2016-02-28,Galgaduud,Ceel Bur,Celbur BE,celbur,,,,4.6821,46.6185,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWALIM EXCEL FILE: Water_Sources_Data_All_Upto2018
DWGLCH065,Dug Well,SWALIM_WSIS,2009-08-12,Galgaduud,Ceel Dheer,Ceel Qororoe,Ceel Dhooble,,,,3.9947,47.4607,16.0,,,,,,,,,,,,,,,,,,,,,,20.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMWGHA028,Dam,SWALIM_WSIS,2008-06-23,Woqooyi Galbeed,Hargeisa,Kuul,Magaalo Kuul,,,,9.3855,43.6586,1422.0,,,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,680.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBO040,Spring,SWALIM_WSIS,2008-05-27,Bari,Bossaso,Conqore 1,Bosaso,,,,11.2095,49.2063,96.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,983.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKHRBE021,Berkad,BRCiS,2017-06-01,Hiraan,Belet Weyne,Bacda hose,Bacda hose,,,,5.1187,45.3887,412.0,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portable water,Water Sources Data from Partners – WSD_Pat
DMAWBO013,Dam,SWALIM_WSIS,2008-06-18,Awdal,Borama,Cali Cumer,Dila Town,,,,9.7737,43.3444,1591.0,,,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,410.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPTGSH009,Spring,SWALIM_WSIS,2008-05-13,Togdheer,Sheikh,Bixin Dule 2,Geel Lokoi,,,,10.1653,45.1052,572.0,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,834.0,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKSNCL004,Berkad,BRCiS,2017-06-01,Sanaag,Ceel Afweyn,Fadhigaab,Fadhigaab,,,,9.6674,47.0137,883.0,,,,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portable water,Water Sources Data from Partners – WSD_Pat
BKTGBC048,Berkad,SWALIM_WSIS,2008-06-20,Togdheer,Burco,Wisil Berkad SRC,Wisil Village,,,,9.5466,45.4005,1109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Aliyow Mareyle,Bulo Barako,,,,2.9349,43.3323,,,,,,,Yes,,,,,,,,98.0,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,,,,,,,,,1/16/2004,,,,
DWGLCH043,Dug Well,SWALIM_WSIS,2009-08-06,Galgaduud,Ceel Dheer,Jeex Dheer,Ceel Dheer,,,,3.8106,47.2501,24.0,,,,,,,,,,,,,,,,,,,,,,20.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
